frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,lp_x1,lp_y1,lp_x2,lp_y2,lg_x1,lg_y1,lg_x2,lg_y2,lg_name
20,3,822.317676647778,441.95608959453887,1497.343736758168,946.4881228531309,1122.7003670774654,681.270817377742,1247.5090218626217,751.2171979929764,1160.2984810911373,638.2902112986404,1217.340168102856,687.7128187205154,Honda
20,2,825.614813448547,439.2561996986101,1497.9959569843345,942.7743914303876,1124.5122133508908,679.2673233558367,1248.6867128626095,749.7281845618913,1161.4860597864376,638.0019882728288,1217.3272768274533,687.3984726478288,Honda
20,1,1458.4303751431012,471.032392679783,1904.563634035193,1026.2428968900201,,,,,,,,,[None]
21,3,822.5535661480512,441.71359442679255,1497.4686972343093,947.3210829626134,1122.7599565289106,680.8965167900737,1247.857978989848,751.0105609795269,1160.5141374371137,638.1194019219097,1217.46732347227,687.2521991631206,Honda
21,2,825.8560690332024,439.13992091425035,1498.1169802868417,943.4972913957517,1124.504140322265,679.07368251093,1249.04344696289,749.8406045080003,1161.4974569726555,637.4119851232347,1216.932851259765,687.1948678136644,Honda
21,1,1458.0741552472928,472.08454123991953,1904.507223636856,1026.7796856485688,,,,,,,,,[None]
22,3,822.162898128057,442.16404285365826,1497.3744721656467,949.8535746500415,1123.758845393682,678.5358842843223,1247.5075941729788,748.8520921700645,1160.3438673663381,636.4120592110801,1219.0190382647756,686.5051530831504,Honda
22,2,825.7530970764676,439.51877348345505,1497.908513205626,945.3841323683314,1125.7755885315457,680.4638723604082,1249.1184840393582,748.8687490693926,1161.8985438538114,638.6057180635332,1217.1635279846707,687.9305319063067,Honda
22,1,1458.2152871618998,471.411634061894,1904.733776755201,1025.4281055086753,,,,,,,,,[None]
23,3,821.911630094239,442.09611387738164,1497.0946889948816,951.5037435048794,1125.3281950356452,680.3033892680066,1248.4672026040046,749.7055193949598,1161.779336393067,637.7345110941785,1219.2179045083014,687.2257983256238,Honda
23,2,825.5634867329607,439.51476482515807,1497.5047926886953,946.7394759708931,1124.969065346242,680.6564579403924,1247.9478861470232,749.6571598446893,1161.1367289204607,638.1026096737909,1216.3432413716325,687.7509861386346,Honda
23,1,1457.6524675916687,471.8295674875084,1904.5088527512187,1024.988008728546,,,,,,,,,[None]
24,3,821.6942438512006,441.9071809256193,1497.1759574352568,952.8164626790199,1125.1517633824506,681.1819306814787,1248.2101129918256,750.5535127127287,1161.3711847691693,638.0887910330412,1216.981475296513,688.9123078787443,Honda
24,2,825.3908195512447,439.51967642415195,1497.4920055206933,948.184811332303,1123.747356416479,679.881263948566,1247.2796440141353,749.2228319417301,1161.1429252641353,637.2082903157535,1216.1942253129635,686.4033891927066,Honda
24,1,1457.470114855112,471.91639716214695,1904.6225216329283,1024.9780119917234,,,,,,,,,[None]
25,3,821.5954470819022,441.6614264814674,1496.9614802240378,953.8416425566903,1125.117877501824,680.9062232343971,1248.1234011834647,749.0424689619362,1161.1142459100272,637.6894568769752,1217.5118289178397,687.1359900801002,Honda
25,2,825.1752653649651,439.4229381423214,1497.0575541443804,949.4229702685471,1124.210421614965,680.1269939284542,1247.75607591184,750.2212779860714,1160.9256926110588,638.1554515700558,1216.0478849938713,687.4104106765011,Honda
25,1,1457.5201357416086,472.1890727835552,1904.8119123149527,1025.834065696696,,,,,,,,,[None]
26,3,820.3023884596757,441.1467169249305,1496.2164794033254,954.9598759398654,1124.9273579420976,681.0979498350868,1247.4088337721757,748.9963262999305,1160.6401570143632,637.7017248595008,1217.5053913893632,687.3985327208289,Honda
26,2,824.3898617440645,440.24687370746466,1496.737416324469,952.8114167258541,1122.3767391854708,680.7258928725037,1247.391692798752,750.5348680922302,1161.006194751877,637.7546404310974,1218.294524830002,687.7782915541443,Honda
26,1,1457.607087120096,472.2668426047026,1904.9319501493019,1026.1018387307574,,,,,,,,,[None]
27,3,819.7513693720011,440.47878109338507,1495.7898442390233,955.1558155392065,1125.5767477899699,681.6014007222914,1247.7194479852824,749.6063750875257,1161.118526354423,638.1304229390882,1217.1741598993449,686.8759978902601,Honda
27,2,824.0418968590571,439.8001648531197,1496.4786811257982,953.7471244640269,1122.0366173180414,681.3392426119087,1247.0367088707758,751.1309753999947,1160.7003746422602,638.391076718354,1217.9335899742914,688.351022397065,Honda
27,1,1457.3008330654488,471.7788503356804,1904.837022099487,1025.438331102397,,,,,,,,,[None]
28,3,819.2787220189975,440.4293476993758,1495.729191594016,956.4222081108535,1124.3186695287632,679.6563984806257,1247.7237903783725,749.4008747989851,1160.9808094213413,637.5681721622664,1216.5680896947788,685.5840870792586,Honda
28,2,823.8965062541356,439.5817879786567,1496.48464612196,954.9688352717237,1124.0900792521825,680.4416207423285,1248.241599027573,750.6803902735785,1161.677603666245,638.0354165186957,1219.4731053752294,687.5227212061957,Honda
28,1,1457.2395807430948,472.13257971877994,1904.8858741469653,1026.0893286124563,,,,,,,,,[None]
29,3,818.3642897883118,443.9650236667841,1495.7346183896984,966.6558725563756,1123.596009759015,679.1955229343622,1247.7868056574525,750.3372770847528,1161.052522210187,639.1814238132685,1216.5192275324525,685.6168943943231,Honda
29,1,1457.47802799129,471.9443903473301,1905.0135583781605,1025.8802054629082,,,,,,,,,[None]
30,3,819.4069554219844,443.6243122215191,1496.4110510212754,971.4521961898954,1122.840427101672,679.7914722556989,1248.4977452169064,751.3233173484723,1162.0447117696408,638.7751148338239,1216.1088902364377,685.4865406150739,Honda
30,1,1457.229942663953,471.8513392723637,1904.8282245574392,1025.6181757046254,,,,,,,,,[None]
31,5,1455.3439304134104,472.2574608352655,1905.2912594245158,1025.864720860714,,,,,,,,,[None]
31,3,818.3371810915368,441.9817811363032,1495.408582487611,971.7219144023386,1122.0469589235681,679.7193909995844,1248.7236251833338,751.8638917320063,1162.0606918337244,639.3394776695063,1215.851860046615,685.265899788647,Honda
31,1,1457.1689345697932,471.0070271838659,1904.8279352378281,1023.7952255409989,,,,,,,,,[None]
32,5,1456.1916445592567,472.34258409652193,1905.2770336029564,1025.4255151760274,,,,,,,,,[None]
32,3,818.0549403912828,441.67312549004316,1494.9740595674398,974.1164744370034,1122.1705409772203,677.6857292498088,1249.382638145189,749.5103752459025,1161.6178981549547,638.7182915056682,1216.3346645123765,684.7779228533244,Honda
32,1,1456.6703086118036,470.9971232794584,1904.826162342089,1023.1204048963162,,,,,,,,,[None]
33,5,1456.2404410896931,472.28647660651757,1904.9986066407412,1024.6129080586866,,,,,,,,,[None]
33,3,818.0011235118221,440.9470860200128,1494.4659272834883,975.1816226016167,1122.1095829844785,677.9941441254816,1249.4427433848691,749.8467137055598,1161.4225712657285,638.9757115082941,1216.3624211192441,685.2037998872004,Honda
33,1,1456.0747424992717,471.0493663264564,1904.7791494104079,1022.2552229511533,,,,,,,,,[None]
34,5,1456.5875008916494,472.7023737235355,1905.189896889772,1024.694033356,,,,,,,,,[None]
34,3,818.3055602599198,440.00257585976124,1494.2270065228263,975.0209667996596,1122.3712646056229,677.0830659720659,1249.675250201326,748.9205446097612,1161.7221862364822,638.0170564505815,1216.667437701326,684.2438783499956,Honda
34,1,1456.8429466248504,471.973082496423,1905.0686148493792,1023.1568524025946,,,,,,,,,[None]
35,5,1455.145054996004,472.9644587760142,1904.663226438979,1024.687921255499,,,,,,,,,[None]
35,3,819.0868841168842,438.5962811858437,1494.140441550115,972.5378315496052,1123.146912193056,678.9694348723672,1247.995026206728,750.627348080375,1160.7459722516498,639.0309735686562,1215.9172369000873,685.1388532073281,Honda
35,1,1455.5286663813324,472.3763543936851,1904.4062634735412,1023.5698665913827,,,,,,,,,[None]
36,5,1455.0336731717555,472.8986729098359,1904.5386949862557,1023.8419777806683,,,,,,,,,[None]
36,3,819.2508765504301,438.03705111117654,1493.7985103610433,971.0761837036122,1121.5519629762114,678.0725430545359,1248.3690711305082,750.6386746463328,1160.7402869508207,638.2386349734812,1216.584586267227,684.736636072114,Honda
36,2,824.2046545411451,437.8946420103772,1494.7106574358093,963.1311008415652,1123.6780737305983,680.1971475035413,1247.9498632813795,750.3851815611584,1161.394565429817,638.9464913756116,1216.6586340333326,687.0612679869397,Honda
37,5,1455.5463258016425,473.3875740612797,1904.505399913498,1020.7733772992889,,,,,,,,,[None]
37,3,819.220422491411,438.4204914882099,1493.3565643832019,971.2846001060208,1121.4555604308641,678.4142048671162,1248.4001405089891,751.1081745936787,1160.7203004210985,638.6409352137958,1216.5737244933641,685.0627644374287,Honda
37,2,824.3625357703971,438.0923804520077,1494.3287761268125,963.6854517967404,1124.9118216590691,678.9876136063046,1247.5598929481316,749.1774329422421,1161.2228873328972,638.0700873611875,1216.6466239051629,685.5757178543515,Honda
38,5,1455.6063869057027,473.72947232292995,1904.3433534562853,1018.2599988319473,,,,,,,,,[None]
38,3,819.2216711770268,438.5816278412956,1493.0500923424559,971.3859679862592,1121.5312109719487,678.6474389985221,1248.3363867531987,751.1800775483268,1160.6913977395268,638.7663660004753,1216.4534827004643,685.2059411957878,Honda
38,2,824.4089746052288,438.1728135082478,1494.0627328337632,964.2253302141578,1124.9298791462443,679.0727158519978,1247.5180444294474,749.3528367016072,1161.2096643024943,638.0770188305135,1216.403176265385,685.4623032543416,Honda
39,5,1456.1228565794884,473.90343422736817,1904.5266149488555,1016.5834086075564,,,,,,,,,[None]
39,3,819.6225819570591,438.17223453200967,1492.950327404014,970.0960211794227,1121.9926381094028,678.3144922224394,1248.433861253934,751.3091363874785,1161.830315111356,638.884942051541,1216.8385243398716,684.0087976423613,Honda
39,2,824.6856328711699,437.62003051823183,1493.9168416430164,963.1282839915931,1125.864130185623,680.4856921393256,1247.8605901465605,749.6074877936225,1161.6903630957793,638.868855591474,1217.3787175879668,686.7907916266303,Honda
40,5,1456.4701434917904,474.293765091738,1904.6154260906608,1015.6135172396354,,,,,,,,,[None]
40,3,819.6600269520061,439.1126565811468,1492.6585506243903,971.7564032900071,1123.1257557117717,678.488450038178,1248.6039661609905,751.3491372940374,1161.5306934559123,638.3135080215765,1217.077507420756,684.6179513809515,Honda
40,2,823.142320001899,439.092198294866,1492.4975286509302,966.030988615204,1123.1153729804146,679.3471268837332,1247.270036066352,750.5364426796316,1160.9155743964302,638.7206925575613,1216.1894086249458,684.3509110634207,Honda
